STT,Text,Labels
,Website chính thức của Trung tâm Quản trị Hệ thống là https://csm.iuh.edu.vn/.,Thong_Tin_Trung_Tam
,Tên tiếng Anh của Trung tâm Quản trị Hệ thống là Center of System Management.,Thong_Tin_Trung_Tam
,Tên viết tắt của Trung tâm Quản trị Hệ thống là CSM.,Thong_Tin_Trung_Tam
,"Trong quá trình xây dựng và phát triển ban đầu của trường, việc quản trị mạng và server do Tổ Quản trị hệ thống trực thuộc phòng ban phụ trách.",Thong_Tin_Trung_Tam
,"Tháng 8 năm 2019, Trung tâm Quản trị Hệ thống được thành lập trên cơ sở nâng cấp từ Tổ quản trị hệ thống theo quyết định số 1296/QĐ – ĐHCN.",Thong_Tin_Trung_Tam
,"Chức năng của Trung tâm là tham mưu giúp Hiệu trưởng quản lý, điều hành và xử lý các vấn đề về server, mạng nội bộ, internet và ứng dụng CNTT.",Thong_Tin_Trung_Tam
,Trung tâm có chức năng thiết lập các cơ chế sao lưu dự phòng cho các hệ cơ sở dữ liệu của nhà Trường.,Thong_Tin_Trung_Tam
,Trung tâm Quản trị Hệ thống đảm nhận chức năng tổ chức chiêu sinh và đào tạo các khoá ngắn hạn về công nghệ thông tin.,Thong_Tin_Trung_Tam
,"Nhiệm vụ của Trung tâm là đảm bảo cơ sở hạ tầng CNTT, quản lý và vận hành hệ thống server, mạng và thiết bị trong toàn trường.",Thong_Tin_Trung_Tam
,"Trung tâm có nhiệm vụ tổ chức, quản lý dữ liệu và xây dựng các kịch bản, mô hình backup định kỳ.",Thong_Tin_Trung_Tam
,"Trung tâm tư vấn xây dựng các điều kiện, tiêu chuẩn kỹ thuật khi nhà trường đầu tư thiết bị liên quan đến CNTT.",Thong_Tin_Trung_Tam
,Trung tâm Quản trị Hệ thống quản lý hệ thống email và quản trị hệ thống wifi của Trường.,Thong_Tin_Trung_Tam
,Trung tâm quản trị và thiết lập về mặt hệ thống đối với phần mềm PMT-EMS của Nhà trường.,Thong_Tin_Trung_Tam
,"Trung tâm nghiên cứu, triển khai các dự án CNTT và phần mềm nghiệp vụ phục vụ công tác đào tạo, quản lý.",Thong_Tin_Trung_Tam
,Trung tâm đảm bảo an toàn dữ liệu và bảo mật thông tin cho các phần mềm được nhà trường giao phụ trách.,Thong_Tin_Trung_Tam
,"Địa chỉ văn phòng Trung tâm Quản trị Hệ thống được đặt tại Lầu 2, nhà E và Lầu 10, nhà H, số 12 Nguyễn Văn Bảo, phường 4, quận Gò Vấp, TPHCM.",Thong_Tin_Trung_Tam
,"Số điện thoại liên hệ của Trung tâm Quản trị Hệ thống là (028) 38 940 390, số nội bộ 168 hoặc 838.",Thong_Tin_Trung_Tam
